id_movie,name_movie,year,imdb_votes,imdb_rating,certificate,duration,genere,overview,id_actor,id_director,id_writer
tt0111161,The Shawshank Redemption,1994,2601152,9.3,A,142,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",ac0000209,dr0001104,wr0000175
tt0068646,The Godfather,1972,1796656,9.2,A,175,"Crime,Drama",An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,ac0000008,dr0000338,wr0701374
tt0468569,The Dark Knight,2008,2572662,9,UA,152,"Action,Crime,Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",ac0000288,dr0634240,wr0275286
tt0071562,The Godfather Part II,1974,1237934,9,A,202,"Crime,Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",ac0000199,dr0000338,wr0701374
tt0050083,12 Angry Men,1957,768548,9,U,96,"Crime,Drama",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,ac0000020,dr0001486,wr0741627
tt0108052,Schindler's List,1993,1322917,9,A,195,"Biography,Drama,History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",ac0000553,dr0000229,wr0447745
tt0167260,The Lord of the Rings: The Return of the King,2003,1786498,9,U,201,"Action,Adventure,Drama",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,ac0000704,dr0001392,wr0866058
tt0110912,Pulp Fiction,1994,1993957,8.9,A,154,"Crime,Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",ac0000237,dr0000233,wr0000233
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,1807565,8.8,U,178,"Action,Adventure,Drama",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,ac0000704,dr0001392,wr0866058
tt0060196,"Il buono, il brutto, il cattivo",1966,746053,8.8,A,161,"Adventure,Western",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,ac0000142,dr0001466,wr0898812
tt0109830,Forrest Gump,1994,2009640,8.8,UA,142,"Drama,Romance","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",ac0000158,dr0000709,wr0343165
tt0137523,Fight Club,1999,2048759,8.8,A,139,Drama,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",ac0001570,dr0000399,wr0657333
tt1375666,Inception,2010,2282447,8.8,UA,148,"Action,Adventure,Sci-Fi",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,ac0000138,dr0634240,wr0634240
tt0167261,The Lord of the Rings: The Two Towers,2002,1613445,8.8,UA,179,"Action,Adventure,Drama","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",ac0000704,dr0001392,wr0866058
tt0080684,The Empire Strikes Back,1980,1258886,8.7,UA,124,"Action,Adventure,Fantasy","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",ac0000434,dr0449984,wr0000184
tt0133093,The Matrix,1999,1867547,8.7,A,136,"Action,Sci-Fi","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",ac0000206,dr0905154,wr0905152
tt0099685,Goodfellas,1990,1124975,8.7,A,145,"Biography,Crime,Drama","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",ac0000134,dr0000217,wr0683380
tt0073486,One Flew Over the Cuckoo's Nest,1975,987558,8.7,A,133,Drama,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",ac0000197,dr0001232,wr0450181
tt0114369,Se7en,1995,1596843,8.6,A,127,"Crime,Drama,Mystery","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",ac0000151,dr0000399,wr0001825
tt0047478,Shichinin no samurai,1954,340526,8.6,U,207,"Action,Drama",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,ac1421814,dr0000041,wr0000041
tt0038650,It's a Wonderful Life,1946,446922,8.6,PG,130,"Drama,Family,Fantasy",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,ac0000071,dr0001008,wr0329304
tt0102926,The Silence of the Lambs,1991,1392578,8.6,A,118,"Crime,Drama,Thriller","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",ac0000149,dr0001129,wr0365383
tt0317248,Cidade de Deus,2002,743932,8.6,A,130,"Crime,Drama","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",ac0526199,dr0576987,wr0513130
tt0120815,Saving Private Ryan,1998,1354311,8.6,A,169,"Drama,War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",ac0000158,dr0000229,wr0734441
tt0118799,La vita è bella,1997,679573,8.6,U,116,"Comedy,Drama,Romance","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",ac0000905,dr0000905,wr0148437
tt0120689,The Green Mile,1999,1264587,8.6,UA,189,"Crime,Drama,Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",ac0000158,dr0001104,wr0000175
tt0816692,Interstellar,2014,1743555,8.6,UA,169,"Adventure,Drama,Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,ac0000190,dr0634240,wr0634240
tt0076759,Star Wars,1977,1330965,8.6,U,121,"Action,Adventure,Fantasy","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",ac0000434,dr0000184,wr0000184
tt0103064,Terminator 2: Judgment Day,1991,1073286,8.6,A,137,"Action,Sci-Fi","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",ac0000216,dr0000116,wr0000116
tt0088763,Back to the Future,1985,1167865,8.5,U,116,"Adventure,Comedy,Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",ac0000150,dr0000709,wr0000709
tt0245429,Sen to Chihiro no kamikakushi,2001,737358,8.6,U,125,"Animation,Adventure,Family","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",ac0153738,dr0594503,wr0594503
tt0054215,Psycho,1960,656425,8.5,A,109,"Horror,Mystery,Thriller","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",ac0000578,dr0000033,wr0825010
tt0253474,The Pianist,2002,809467,8.5,R,150,"Biography,Drama,Music",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,ac0004778,dr0000591,wr0844262
tt0110413,Léon,1994,1132261,8.5,A,110,"Action,Crime,Drama","Mathilda, a 12-year-old girl, is reluctantly taken in by LÃ©on, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protÃ©gÃ©e and learns the assassin's trade.",ac0000606,dr0000108,wr0000108
tt6751668,Gisaengchung,2019,752365,8.5,A,132,"Comedy,Drama,Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,ac0814280,dr0094435,wr0094435
tt0110357,The Lion King,1994,1030401,8.5,U,88,"Animation,Adventure,Drama","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",ac0591450,dr0021249,wr0575293
tt0172495,Gladiator,2000,1461459,8.5,UA,155,"Action,Adventure,Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,ac0000128,dr0000631,wr0291905
tt0120586,American History X,1998,1100708,8.5,R,119,"Crime,Drama",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,ac0001570,dr0443411,wr0571346
tt0114814,The Usual Suspects,1995,1064869,8.5,A,106,"Crime,Drama,Mystery","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",ac0000228,dr0001741,wr0003160
tt0407887,The Departed,2006,1292858,8.5,A,151,"Crime,Drama,Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,ac0000138,dr0000217,wr1184258
tt0482571,The Prestige,2006,1299898,8.5,U,130,"Drama,Mystery,Sci-Fi","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",ac0000288,dr0634240,wr1793993
tt0034583,Casablanca,1942,561755,8.5,U,102,"Drama,Romance,War",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,ac0000007,dr0002031,wr0258493
tt1745960,Top Gun: Maverick,2022,182091,8.6,UA,130,"Action,Drama","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",ac0000129,dr2676052,wr0143596
tt2582802,Whiplash,2014,816452,8.5,A,106,"Drama,Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,ac1886602,dr3227090,wr3227090
tt1675434,The Intouchables,2011,836025,8.5,UA,112,"Biography,Comedy,Drama","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",ac0865918,dr0619923,wr0619923
tt0027977,Modern Times,1936,238388,8.5,G,87,"Comedy,Drama,Romance",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,ac0000122,dr0000122,wr0000122
tt0056058,Seppuku,1962,54568,8.6,R,133,"Action,Drama,Mystery","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",ac0619938,dr0462030,wr0847668
tt0064116,Once Upon a Time in the West,1968,324490,8.5,U,165,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,ac0000020,dr0001466,wr0006872
tt0095327,Hotaru no haka,1988,268799,8.5,U,89,"Animation,Drama,War",A young boy and his little sister struggle to survive in Japan during World War II.,ac0851302,dr0847223,wr0636435
tt0047396,Rear Window,1954,482592,8.5,U,112,"Mystery,Thriller",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,ac0000071,dr0000033,wr0371088
tt0078748,Alien,1979,858415,8.5,R,117,"Horror,Sci-Fi","After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",ac0000244,dr0000631,wr0639321
tt0021749,City Lights,1931,182318,8.5,G,87,"Comedy,Drama,Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",ac0000122,dr0000122,wr0000122
tt0095765,Nuovo Cinema Paradiso,1988,255903,8.5,U,155,"Drama,Romance",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,ac0634159,dr0868153,wr0868153
tt0209144,Memento,2000,1211960,8.4,UA,113,"Mystery,Thriller",A man with short-term memory loss attempts to track down his wife's murderer.,ac0001602,dr0634240,wr0634240
tt0078788,Apocalypse Now,1979,654121,8.5,R,147,"Drama,Mystery,War",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,ac0000640,dr0000338,wr0380282
tt0082971,Raiders of the Lost Ark,1981,947373,8.4,A,115,"Action,Adventure","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",ac0000148,dr0000229,wr0442241
tt1853728,Django Unchained,2012,1504128,8.4,A,165,"Drama,Western","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",ac0004937,dr0000233,wr0000233
tt0910970,WALL-E,2008,1089504,8.4,U,98,"Animation,Adventure,Family","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",ac0123785,dr0004056,wr0714114
tt0405094,The Lives of Others,2006,384575,8.4,A,137,"Drama,Mystery,Thriller","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",ac0618057,dr0003697,wr0003697
tt0043014,Sunset Blvd.,1950,218557,8.4,A,110,"Drama,Film-Noir",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,ac0000034,dr0000697,wr0102818
tt0050825,Paths of Glory,1957,194272,8.4,A,88,"Drama,War","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",ac0000018,dr0000040,wr0000040
tt0081505,The Shining,1980,990778,8.4,A,146,"Drama,Horror","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",ac0000197,dr0000040,wr0000175
tt0032553,The Great Dictator,1940,221013,8.4,G,125,"Comedy,Drama,War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,ac0000122,dr0000122,wr0000122
tt0051201,Witness for the Prosecution,1957,122792,8.4,U,116,"Crime,Drama,Mystery",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,ac0000061,dr0000697,wr0002005
tt4154756,Avengers: Infinity War,2018,1025609,8.4,UA,149,"Action,Adventure,Sci-Fi",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,ac0000375,dr0751577,wr0498278
